PartCode,OrganizationKey,ItemDescription,EuropumpBubbleNumber
*6A050805,1,CASING,0
*6A050835E019,1,CASING,0
*70DX00012A,1,???BRG|SS400|[*AN12 D80 T11 2]|????1||H11|?????,0
*77KD54320F205,1,PIPE OF THE SINGLE SCREW,0
*77KE21115C,1,???????|SUS304TP|[*PT1/2X115L SCH80 0]|????1||H11|?????,0
*77KE27140D,1,???????|SUS316TP|[*PT3/4X140L SCH80 0]|????1||H11|?????,0
*77KE27350D,1,???????|SUS316TP|[*PT3/4X400L SCH80 0]|????1||H11|?????,0
*77KF21300C,1,PIPE OF THE SINGLE SCREW,0
*77KN21060B,1,???????|STPT370|[*NPT1/2X60L SCH80]|????1||H11|?????,0
*7600774..A,1,????|SS400||????1||H11|?????,0
*7601286M2B,1,???????|SUS403|[*M24?? D48 L60 2]|????1||H11|?????,0
*7700651..A,1,????|S25C| D44.8 L100|????1||H11|?????,0
*7701408..A,1,FLANGE,0
*7703500..A,1,????????|S25C|[*3/4B*3/4B 0]|????1||H11|?????,0
*7704669..A,1,???|S25C|PT1/2  |????1||H11|?????,0
*6A050205G055,1,?????R/BRG|SCPH2|[?????????????]|????1||H11|?????,0
*6A050230G055,1,?????|SCPH2||????1||H11|?????,0
*6A050277B007,1,???|SUS304|W165 L556 T1.5[???????? ????????]|????1||H11|?????,0
*6A050288,1,???CSG|-||????1||H11|?????,0
*6A050305G055,1,?????|SCPH2||????1||H11|?????,0
*6A050684G055,1,CASING,0
*6A050708F112,1,FLANGE,0
*6A050734E015,1,DIFFUSER,0
*6A050745E015,1,IMPELLER,0
*6A050764B046,1,FLANGE,0
*6A050765F112,1,FLANGE,0
*7404736.3A,1,??|SUS304|[*1S??????????????? 0]|????1||H11|?????,0
*7405359M1A,1,???T/SLV|S25C|[*CCW?? M56 T 10.52]|????1||H11|?????,0
*74LS27027D,1,??|SUS316L|[*3/4B SCH80]|????1||H11|?????,0
*7500331..A,1,HEAT INSULATING BOARD,0
*7502754M.A,1,??????????|SCS14||????1||H11|?????,0
*7502754M.B,1,??????????|SCS14A||????1||H11|?????,0
*6A050672G055,1,"HOUSING,BEARING",0
*6A050677G055,1,"BRACKET,BEARING",0
*6A050710G055,1,"BRACKET,BEARING",0
*6A050741A013,1,STAGE PIECE,0
*6A050750E015,1,IMPELLER,0
*6A050757A013,1,DIFFUSER,0
*70DX00017A,1,"NUT,BEARING",0
*70MC1G1W1H,1,???CPL|ALUMINIUM|[*PL1.6*230*511 0]|????1||H11|?????,0
*71KE21500A,1,????|STPG370|[PT1/2X1000L SCH80]|????1||H11|?????,0
*71KE27200A,1,????|STPG370|[*PT3/4X200L SCH80]|????1||H11|?????,0
*71KN21280A,1,????|STPG370|[*NPT1/2X280L SCH80]|????1||H11|?????,0
*7202853.2C,1,???????|C3604BE|I90.2 D120 T21.5|????1||H11|?????,0
*77KE27120D,1,???????|SUS316TP|[*PT3/4X120L SCH80 0]|????1||H11|?????,0
*77KE27150D,1,???????|SUS316TP|[*PT3/4X150L SCH80 0]|????1||H11|?????,0
*77KF17100C,1,PIPE OF THE SINGLE SCREW,0
*77KF27350D,1,???????|SUS316TP|[*PT3/4X400L SCH160 0]|????1||H11|?????,0
*7802294M.A,1,SHAFT,0
*7804003U.A,1,???|S25C|[*D42 L40 NPT1/2]|????1||H11|?????,0
*71DX00017A,1,"WASHER,BEARING",0
*71DX00022A,1,???BRG|SS400|[*AW22 D154 T1.8 2]|????1||H11|?????,0
*71KE17040C,1,????|SUS304TP|[*PT3/8X40L SCH80]|????1||H11|?????,0
*71KE17110A,1,????|STPG370|[*PT3/8X110L SCH80]|????1||H11|?????,0
*71KE21145A,1,????|STPG370|[PT1/2X145L SCH80]|????1||H11|?????,0
*7200942.2A,1,BASE FITTING,0
*6A050335A029,1,?????|A216 WCB|[???????? ??]|????1||H11|?????,0
*6A050344G055,1,?????|SCPH2||????1||H11|?????,0
*6A050350E009,1,"????|SCS14A|[""A""?????]|????1||H11|?????",0
*6A050353B048,1,"????|SUSF316|[20A JIS 20K RF,SO]|????1||H11|?????",0
*6A050354E009,1,?????|SCS14A|[JIS 20K RF]|????1||H11|?????,0
*6A050626F194,1,"BRACKET,BEARING",0
*6A050728E015,1,IMPELLER,0
*6A050731E015,1,IMPELLER,0
*6A050738A013,1,STAGE PIECE,0
*6A050769C003,1,LIQUID CYLINDER,0
*6A050778F104,1,STUFFING BOX,0
*7600696.2A,1,?????|SS400|[*????LAG?? 0]|????1||H11|?????,0
*7603006..A,1,???CSG|SUS316/?????|I235.6 D278 L36|????1||H11|?????,0
*7702240M.A,1,????|SS400|I80 D156 T20|????1||H11|?????,0
*77KE21080A,1,???????|STPG370|[*PT1/2X80L SCH80]|????1||H11|?????,0
*77KF21090H,1,PIPE OF THE SINGLE SCREW,0
*7800086..C,1,????IMP|SUS316| D66 L20|????1||H11|?????,0
*6A050520E036,1,????|SCS6||????1||H11|?????,0
*6A050525C020,1,????|SUS410| D143 L2849|????1||H11|?????,0
*6A050526E019,1,??????|SCS1-T2||????1||H11|?????,0
*6A050529A130,1,????|A747CB7CU-1-900|[??? ???]|????1||H11|?????,0
*6A050542I016,1,???|ADC12||????1||H11|?????,0
*6A050759A013,1,STAGE PIECE,0
*6A050762A013,1,STAGE PIECE,0
*6A050777G069,1,"HEAD,SUCTION",0
*6A050807F110,1,FLANGE,0
*71DX00028A,1,???BRG|SS400|[*AW28 D192 T2 2]|????1||H11|?????,0
*71KE17030A,1,NIPPLE,0
*6A050804E036,1,IMPELLER,0
*6A050821G015,1,"HOUSING,BEARING",0
*6A050822E015,1,IMPELLER,0
*6A050837G055,1,IMPELLER,0
*6A050842G055,1,CASING,0
*70DX00024A,1,???BRG|SS400|[*AN24 D155 T20 2]|????1||H11|?????,0
*71DX00018A,1,???BRG|SS400|[*AW18 D126 T1.8 2]|????1||H11|?????,0
*71KE13060A,1,????|STPG370|[*PT1/4X60L SCH80]|????1||H11|?????,0
*71KE17060A,1,????|STPG370|[*PT3/8X60L SCH80]|????1||H11|?????,0
*71KE27040A,1,????|STPG370|[*PT3/4X40L SCH80]|????1||H11|?????,0
*71KE27070C,1,????|SUS304TP|[*PT3/4X70L SCH80 0]|????1||H11|?????,0
*71KE27135F205,1,NIPPLE,0
